id,serums_id,staff_id,name,department_id,department_name
1,364,6000,Isla MacDonald,1,Emergency 
2,391,6001,Charles Stewart,1,Emergency     
3,390,6002,Oliver Wilson,3,Consultant     
4,392,6003,Emily Scott,1,Emergency 
5,387,6004,Ella Murray,2,Surgery   
6,394,6006,James Campbell,4,Admin   
7,393,6006,Charlotte Watson,4,Admin   
8,395,6007,Amelia Clark,4,Admin
9,6008,6008,Noah Thomson,3,Consultant
10,6009,6009,Jack Smith,2,Surgery
11,120,120,Charlotte Watson,4,MEDICAL_STAFF
12,121,121,Oliver Wilson,5,HOSPITAL_ADMIN
