id,serums_id,staff_id,name,department_id,department_name
1,376,7000,Lucas De Vries,1,Emergency
2,7001,7001,Milan Van de Berg,1,Emergency
3,7002,7002,Emma Bakker,1,Emergency
4,7003,7003,Sophie Janssen,1,Emergency
5,7004,7004,Levi Van Dijk,2,Surgery
6,7007,7007,Julia Visser,2,Surgery
7,7006,7006,Sem Jansen,2,Surgery
8,7007,7007,Mila Meyer,3,Consultant
9,7008,7008,Anna Smit,3,Consultant
10,7009,7009,Daan De Jong,3,Consultant
11,122,122,Leon Jansen,4,MEDICAL_STAFF
12,123,7002,Emma Bakker,5,HOSPITAL_ADMIN
13,46,46,Sem Smit,6,SERUMS_ADMIN
14,154,154,adminSelkie1@zmc.com,6,SERUMS_ADMIN
14,157,157,adminSelkie1@zmc.com,5,HOSPITAL_ADMIN
